t,a,b,c,n
2024-11-14T07:00:00.000000,(138.18847425191652-238.34185476603506j),(-273.5471459143043-1.232935337475874j),(136.47611279718262+237.82762996079387j),(0.37248037826493935-0.582386714239036j)
2024-11-14T07:00:20.000000,(137.89833131231657-237.86155474056474j),(-273.81717003981527-0.27201445749377445j),(137.51745750647487+238.99595087756546j),(0.5328729263254145+0.28746055983566926j)
2024-11-14T07:00:30.000000,(137.39781669049754-238.26185525395292j),(-274.5263946974734-0.1827648210762582j),(137.2917252237632+238.26485879755256j),(0.054382405595777165-0.05992042582554254j)
2024-11-14T07:00:50.000000,(137.93626737528731-238.2145227430244j),(-273.9507715880422-0.7496801467224969j),(136.7349712909855+238.25031295110486j),(0.24015569274353563-0.23796331288067674j)
2024-11-14T07:01:00.000000,(138.47573199613888-238.39798408083806j),(-274.05505365766413-0.9004552972995945j),(137.08136527085273+238.32826345747193j),(0.5006812031091421-0.3233919735552233j)
2024-11-14T07:01:10.000000,(137.73667761731983-237.27334999272543j),(-274.5510471625155-0.34399782516137606j),(137.1039852445601+238.30811132720012j),(0.09653856645481762+0.23025450310444137j)
2024-11-14T07:01:20.000000,(137.16301400295453-237.03251233408642j),(-275.5121085768173-0.3577504711254653j),(136.8617699181645+237.84885408158905j),(-0.49577488523274427+0.1528637587923937j)
2024-11-14T07:01:40.000000,(135.94291737288762-238.1783109083696j),(-274.3295940006965+1.2354882949762496j),(138.3770649134947+237.14012432146765j),(-0.003203904771398377+0.06576723602476446j)
2024-11-14T07:01:50.000000,(136.9111039866187-237.50864897389476j),(-274.6859981951726+0.09126919174773296j),(137.38151347402487+237.78906806346654j),(-0.13112691150966171+0.12389609377318049j)
2024-11-14T07:02:20.000000,(138.3930564514226-237.662900775775j),(-274.1406408381424-1.2922266083002736j),(136.66973239095344+238.29352324005976j),(0.30738266807787373-0.22053471467185687j)
2024-11-14T07:02:30.000000,(138.14331986116323-237.7794091216732j),(-274.63369734260027-0.6167604823345744j),(137.20676031049183+238.9595143831507j),(0.23879427635160919+0.1877815930476154j)
2024-11-14T07:02:50.000000,(137.98018064553534-238.57717047272746j),(-273.72925889933185-0.3880170417327004j),(137.7818754202712+238.8979867781287j),(0.6775990554915803-0.022400245443830045j)
2024-11-14T07:03:00.000000,(137.92816370651377-237.91096751465523j),(-274.43961562376813-0.20571385234837394j),(137.6626772216852+238.58753678934124j),(0.38374176814359323+0.15695180744586693j)
2024-11-14T07:03:10.000000,(138.10847260764996-238.3723446908838j),(-273.83550882907406-0.06591397405349131j),(138.07127703330053+239.29456363764j),(0.7814136039588064+0.28543499090088587j)
2024-11-14T07:03:20.000000,(137.28353463172473-239.0024513306259j),(-273.87356408310995+0.2554963054580677j),(137.81535345796325+237.77814108437477j),(0.4084413355259839-0.3229379802643522j)
2024-11-14T07:03:30.000000,(136.7961767400644-237.332995931215j),(-275.43476931143346+0.3603906474176005j),(137.30500244074287+237.50746396570298j),(-0.44453004354205694+0.17828622730183863j)
2024-11-14T07:03:40.000000,(137.21963758181604-237.43795091065144j),(-275.1285820498715+0.055005662541575094j),(137.11425444332917+237.74483226487732j),(-0.26489667490877933+0.1206290055891595j)
2024-11-14T07:03:50.000000,(137.24787398718553-237.84418742004647j),(-275.5137862959796-0.06467793989357146j),(137.3606440643153+237.5556947164015j),(-0.3017560814929275-0.11772354784618237j)
2024-11-14T07:04:00.000000,(137.30908917006082-238.29407706169934j),(-274.4328651947592+0.10872993555042658j),(137.78937484094624+237.68591745414722j),(0.22186627208260745-0.16647655733389807j)
2024-11-14T07:04:10.000000,(137.47197698688674-238.31572800533797j),(-273.7915757742188+0.7001593100396771j),(138.2902879180495+238.3711706775434j),(0.6568963769058273+0.25186732741504647j)
2024-11-14T07:04:20.000000,(136.63121300548158-238.2297703332422j),(-275.1420016593813+0.9073113081595438j),(137.97672600120617+237.2526908319786j),(-0.17802088423118237-0.02325606436801995j)
2024-11-14T07:04:30.000000,(137.63459368270455-238.21992807895367j),(-274.8134912556667+0.1819296376337493j),(137.66772966944572+238.58338919477893j),(0.16294403216120967+0.18179691781967305j)
2024-11-14T07:05:00.000000,(138.9898577033997-239.21030380992192j),(-273.6290138012689-1.0675711847865876j),(136.9430429066784+239.01933042335483j),(0.7679622696030337-0.41951485711789216j)
