t,a,b,c,n
2024-11-14T07:00:00.000000,(137.95977897678125-241.58950825172263j),(-269.1314228409367+4.116765991303065j),(140.69602969462392+240.51497397973705j),(3.1747952768228282+1.0140772397724755j)
2024-11-14T07:00:20.000000,(137.39622549190486-241.939927760888j),(-268.7549727616855+5.241855061543043j),(141.22448179220666+240.18532689395104j),(3.2885781741420073+1.1624180648686797j)
2024-11-14T07:00:50.000000,(137.48718383948622-241.88110051384567j),(-268.62946924856016+4.725729602877167j),(140.8253845922208+240.55356111166046j),(3.2276997277156156+1.1327300668973175j)
2024-11-14T07:01:10.000000,(136.9104588141828-242.26387582659584j),(-268.9335035829394+5.049890625173452j),(141.15666968998454+240.204952657227j),(3.0445416404093257+0.996989151934883j)
2024-11-14T07:01:20.000000,(137.11912879350487-242.13232494147115j),(-269.1209337022111+5.215995466036651j),(141.15439660828505+240.3226616282064j),(3.0508638998595927+1.1354440509239532j)
2024-11-14T07:01:40.000000,(136.54832599541461-242.38763643729988j),(-269.0723927336762+6.778101836565946j),(141.54019503005827+240.0103056676686j),(3.00537609726556+1.4669236889782502j)
2024-11-14T07:01:50.000000,(137.06886834393273-242.13742515961965j),(-268.8214499504142+3.7429829403848034j),(141.018514841717+240.24588509415514j),(3.088644411745185+0.6171476249734251j)
2024-11-14T07:02:10.000000,(137.39048882883915-242.10865595554418j),(-269.0389803499483+4.983240967803241j),(140.8693532444656+240.55436924078677j),(3.0736205744521548+1.1429847510152584j)
2024-11-14T07:02:20.000000,(138.79670389792886-241.0201532032399j),(-269.1616199459914+5.9144420859433025j),(139.70139347180026+240.9733464404836j),(3.112159141245923+1.9558784410623515j)
2024-11-14T07:02:30.000000,(137.4312003446885-242.13337783174106j),(-269.5643739834709+5.3705562997646155j),(141.01544609676708+240.5538485148542j),(2.960757485994892+1.2636756609592348j)
2024-11-14T07:02:50.000000,(136.57680876434281-242.46615425358752j),(-269.1845792796352+4.464716001024442j),(141.56758236152356+240.0264193026757j),(2.9866039487437153+0.6749936833708866j)
2024-11-14T07:03:00.000000,(137.07925337571714-242.3345749401726j),(-269.1765859009759+5.210197985126714j),(141.24822932866388+240.36655053087537j),(3.0502989344683598+1.0807245252764872j)
2024-11-14T07:03:20.000000,(136.2866346510014-242.6680916235441j),(-268.8613784721715+4.977543554181865j),(142.1044604363652+239.71119422240648j),(3.1765722050650367+0.6735487176814181j)
2024-11-14T07:03:30.000000,(137.5728964934537-241.84232995756415j),(-268.70138250419336+6.152220077487475j),(140.95899874144223+240.2964360797844j),(3.276837576900862+1.535442066569247j)
2024-11-14T07:03:40.000000,(137.50359829289468-241.937651898468j),(-268.9691563550112+5.571524459377295j),(140.76167879442505+240.4726983534048j),(3.0987069107695095+1.3688569714380332j)
2024-11-14T07:04:00.000000,(136.97474823645715-242.28302498804766j),(-269.352527604276+5.58503278841657j),(141.3627843396277+240.20586705090614j),(2.995001657269599+1.1692916170916714j)
2024-11-14T07:04:10.000000,(136.90495895417436-242.43534157396604j),(-269.12711597148416+4.95679230573522j),(141.45146048243728+240.23549626443523j),(3.0764344883758414+0.9189823320681136j)
2024-11-14T07:04:20.000000,(136.2142503147447-242.81712379202378j),(-269.1885421265447+5.0814137397454875j),(142.09063002048467+239.81782104693238j),(3.038779402894884+0.6940369982180167j)
2024-11-14T07:04:30.000000,(137.2244467929932-242.38208385552662j),(-268.8411521206624+5.326590279455732j),(141.7209092858967+240.2393922793139j),(3.368067986075851+1.0612995677476775j)
2024-11-14T07:04:50.000000,(135.33458312841066-243.3122303374126j),(-269.31583418639116+4.26023395031026j),(143.16548518155392+239.20012655318897j),(3.0614113745244764+0.04937672202888015j)
2024-11-14T07:05:00.000000,(138.27688667482343-241.69751541044158j),(-269.0595738531582+5.590954911049721j),(140.06808575187307+241.04842172395968j),(3.095132857846085+1.6472870748559443j)
