t,a,b,c,n
2024-11-14T07:00:00.000000,(72.37180026097784-221.84244282089588j),(-304.24979443060306-0.44531776599324513j),(77.10831189266771+212.58868433873917j),(-51.58989409231917-3.233025416049995j)
2024-11-14T07:00:20.000000,(71.93506614521168-222.39843211769013j),(-304.7590590335818+0.6331590135049454j),(78.39885494550266+212.6973868600566j),(-51.47504598095583-3.0226287480428553j)
2024-11-14T07:00:50.000000,(72.17695907825323-221.67882145659848j),(-304.0437598600252-0.1902756361434394j),(77.48722847467964+212.3670971875356j),(-51.45985743569742-3.167333301735446j)
2024-11-14T07:01:10.000000,(72.04867257991265-221.83366619396335j),(-303.8655594115785+0.06732564777127166j),(77.78849917541854+212.45416886283664j),(-51.34279588541578-3.1040572277851446j)
2024-11-14T07:01:20.000000,(71.99351557027853-221.72809844901835j),(-303.8794562636002+0.1211190146213025j),(77.8418981620174+212.33580330938156j),(-51.34801417710143-3.0903920416718185j)
2024-11-14T07:01:40.000000,(70.4698954879826-222.67673529586847j),(-304.21746568482433+2.46738064443946j),(79.79078768757168+212.13349574407522j),(-51.31892750309001-2.6919529691179287j)
2024-11-14T07:01:50.000000,(71.31346177215408-221.92876227071102j),(-304.0677798189208+0.9823685665724331j),(78.18470563155907+211.9991924404919j),(-51.52320413840256-2.982400421215542j)
2024-11-14T07:02:10.000000,(72.10595913373886-221.94319305717744j),(-304.08403363581704+0.07226211409569662j),(77.58730997654146+212.50393071775426j),(-51.46358817517887-3.12233340844249j)
2024-11-14T07:02:20.000000,(72.84706829797668-221.4530382695286j),(-303.60524587452824-0.8844966826092272j),(77.07260672385301+212.5997202389645j),(-51.22852361756619-3.2459382377244186j)
2024-11-14T07:02:30.000000,(72.14826874147862-221.6637132376587j),(-303.97264852316596-0.29778448829071863j),(77.41305495622454+212.4056738226505j),(-51.47044160848762-3.1852746344329677j)
2024-11-14T07:02:50.000000,(71.99943864807946-221.85328789799408j),(-304.0849654101981+0.015052553252310035j),(77.70531788959119+212.44348143126078j),(-51.46006962417582-3.1315846378269936j)
2024-11-14T07:03:00.000000,(72.03115932822888-221.90342634169738j),(-304.0742545362885+0.13911760394958014j),(77.58574237064808+212.41545500463533j),(-51.48578427913718-3.116284577704168j)
2024-11-14T07:03:20.000000,(71.01886049929712-222.7023372288036j),(-304.5132662602321+2.0029694391749766j),(79.14622976723508+212.31527638234954j),(-51.44939199789996-2.794697135759695j)
2024-11-14T07:03:30.000000,(72.43147118721406-221.84974908417487j),(-304.01167852007075-0.3422228382681185j),(77.4704853684057+212.66187825093638j),(-51.36990732148366-3.176697890502192j)
2024-11-14T07:03:40.000000,(72.5922841962395-221.67426393561584j),(-304.0574206792845-0.5885234150969229j),(77.03430977021904+212.54807220420108j),(-51.476942237608654-3.2382383821705574j)
2024-11-14T07:04:00.000000,(71.83981255485219-222.45234431447273j),(-304.43123551880274+1.14631445217928j),(78.61502140690222+212.55760751624788j),(-51.32546718568277-2.9161407820151974j)
2024-11-14T07:04:10.000000,(71.99377532148908-222.42874298404192j),(-304.66272040127734+0.6784048063137617j),(78.29247958090234+212.69919755680414j),(-51.45882183296198-3.0170468736413376j)
2024-11-14T07:04:20.000000,(70.7498581243297-222.70458219646727j),(-304.4101733911986+2.071262378205995j),(79.35453540218087+212.29543389335578j),(-51.43525995489601-2.779295308301841j)
2024-11-14T07:04:30.000000,(71.46466114342638-222.14918264366568j),(-304.16305406853365+1.050303081824323j),(78.48111193912108+212.27807100503728j),(-51.405760328662076-2.94026951893469j)
2024-11-14T07:04:50.000000,(71.0063497671952-222.34188540027134j),(-303.89860476402805+1.9142797575427235j),(78.99604278378305+212.09223107958942j),(-51.29873740434993-2.778458187713085j)
2024-11-14T07:05:00.000000,(73.44525118507708-221.46397772574852j),(-303.8235550614091-1.6287373388213229j),(76.67073784182486+212.98763870686798j),(-51.23585534483571-3.3683587859006274j)
