AWG,MCM,Strands,Diameter (in),GMR (ft),Al Resistance DC 20C (Ohm/1000 ft),Al Resistance DC 60C (Ohm/1000 ft),Al Resistance AC 60Hz 20C (Ohm/1000 ft),Al Resistance AC 60Hz 60C (Ohm/1000 ft),Cu Resistance DC 20C (Ohm/1000 ft),Cu Resistance DC 60C (Ohm/1000 ft),Cu Resistance AC 60Hz 20C (Ohm/1000 ft),Cu Resistance AC 60Hz 60C (Ohm/1000 ft)
,716,37,0.974,0.0312,0.0242,,0.025,0.0275,,,,
,716,61,0.975,0.0314,0.0242,,0.0252,0.0275,,,,
,750,37,0.997,0.0319,0.023,0.028,0.0251,0.0263,0.0141,0.0164,0.01527,0.0198
,750,61,0.998,0.0321,0.023,0.028,0.0251,0.0263,0.0141,0.0164,0.01527,0.0198
,795,37,1.03,0.0328,0.0217,,0.0227,0.0248,,,,
,795,61,1.03,0.0331,0.0217,,0.0227,0.0248,,,,
,875,37,1.08,0.0344,0.0198,,0.0206,0.0227,,,,
,875,61,1.08,0.0347,0.0198,,0.0206,0.0227,,,,
,900,37,1.09,0.0349,0.0192,0.024,0.0201,0.022,0.012,0.014,,
,900,61,1.09,0.0352,0.0192,0.024,0.0201,0.022,0.012,0.014,,
,954,37,1.12,0.036,0.0181,,0.0191,0.0208,,,,
,954,61,1.13,0.0362,0.0181,,0.0191,0.0208,,,,
,1000,37,1.15,0.0368,0.0173,0.021,0.0182,0.0199,0.0106,0.0123,0.01174,0.016
,1000,61,1.15,0.0371,0.0173,0.021,0.0182,0.0199,0.0106,0.0123,0.01174,0.016
,1250,,,,,,,,0.00847,0.00982,,0.0138
,1500,,,,,,,,0.00705,0.00818,,0.0125
,1750,,,,,,,,0.00604,0.00701,,0.0117
,2000,,,,,,,,0.00529,0.00613,,0.0111
,2500,,,,,,,,0.00428,0.00496,,
,3000,,,,,,,,0.00356,0.00412,,
,5000,,,,,,,,0.00218,0.00252,,
