t,a,b,c,n
2024-11-14T07:00:00.000000,(41.91553772382369-69.73205044410754j),(-96.2450861596984+5.964427291426261j),(54.32954843587471+63.76762315268129j),(1.5394953451348212e-13-3.102656347663145e-13j)
2024-11-14T07:00:20.000000,(45.69243361515245-76.89843964423194j),(-104.60509108745927+6.996387588705676j),(58.912657472306805+69.90205205552627j),(1.2997844566177812e-12-1.284635275648367e-13j)
2024-11-14T07:00:50.000000,(41.31110593617821-70.09089441391012j),(-95.62490996909864+6.865638048526035j),(54.31380403292044+63.225256365384105j),(5.899625043616049e-13-3.6062137892091e-13j)
2024-11-14T07:01:10.000000,(41.71463521188647-70.42270549654074j),(-96.60819317389131+6.495802381167013j),(54.89355796200483+63.92690311537373j),(1.5490971078348535e-12+6.694064289124078e-13j)
2024-11-14T07:01:20.000000,(40.95965984069121-69.18006533359555j),(-94.36576067232684+6.5779901663876315j),(53.40610083163563+62.60207516720793j),(1.9096391885215376e-12+1.088714915710913e-13j)
2024-11-14T07:01:40.000000,(43.92550041651544-76.43468495888125j),(-102.61756637907988+8.087304752313807j),(58.692065962564435+68.34738020656745j),(6.851533119434884e-13+8.071445678984991e-13j)
2024-11-14T07:01:50.000000,(40.96418995569574-69.8871436721854j),(-95.3687790670164+6.984781897091365j),(54.40458911132067+62.902361775094036j),(4.487704177198363e-13+9.221341215643142e-14j)
2024-11-14T07:02:10.000000,(41.50495063228362-69.71517749800255j),(-95.8595175067277+6.42722867754675j),(54.35456687444408+63.28794882045581j),(9.417157190334775e-13+9.790357642694439e-14j)
2024-11-14T07:02:20.000000,(40.782892245370704-68.80816775881192j),(-93.8776273554438+6.377644758547185j),(53.0947351100731+62.43052300026473j),(7.996148590767767e-13+2.164224461999759e-13j)
2024-11-14T07:02:30.000000,(40.23880289081883-68.28315311093752j),(-92.72945482110086+6.533166274440257j),(52.490651930282034+61.74998683649724j),(-1.0907315726934063e-12+6.398895799200197e-14j)
2024-11-14T07:02:50.000000,(41.595799520526484-70.50479021056842j),(-95.4819885952062+6.769173223255444j),(53.8861890746797+63.735616987312966j),(1.0266418296901928e-12-2.40705925017041e-13j)
2024-11-14T07:03:00.000000,(40.76410572598558-69.60160263094983j),(-94.35442425224353+6.993114567908091j),(53.590318526257946+62.608488063041726j),(-3.535907764018994e-13-7.921468699778101e-13j)
2024-11-14T07:03:20.000000,(44.38745932070491-76.87272393330157j),(-103.09642207149017+8.416068576313794j),(58.708962750785254+68.45665535698781j),(1.819453526270881e-12+4.421956816734927e-15j)
2024-11-14T07:03:30.000000,(41.63393008670164-70.9676245274992j),(-96.29328638860117+6.879425164978412j),(54.659356301899514+64.08819936252077j),(9.71280876632074e-13+2.871581195192315e-13j)
2024-11-14T07:03:40.000000,(41.04424520753971-69.44382660795577j),(-94.31884968424558+6.610637329033452j),(53.274604476705875+62.833189278922326j),(9.572448085662313e-13-1.3042809433270824e-13j)
2024-11-14T07:04:00.000000,(44.42837806957509-76.89073738871286j),(-103.27663580870777+8.002554118289492j),(58.84825773913268+68.88818327042338j),(6.851959634938658e-13-3.312427646546788e-13j)
2024-11-14T07:04:10.000000,(45.604539411935676-77.17761994465344j),(-104.63337501317415+7.248304225671297j),(59.02883560123847+69.92931571898214j),(1.0932094573278941e-12-2.6164727037330196e-13j)
2024-11-14T07:04:20.000000,(43.91204593279972-76.45506404701021j),(-102.09846882834168+8.014377795736838j),(58.18642289554196+68.44068625127339j),(1.0754562671653625e-12-6.584416189494243e-13j)
2024-11-14T07:04:30.000000,(40.94008399627792-71.00862580388447j),(-94.98056445082932+7.285748853956504j),(54.04048045455139+63.72287694992798j),(1.1035406630225394e-12-1.2971706686727168e-12j)
2024-11-14T07:04:50.000000,(40.50311170776116-69.85721574426705j),(-94.36548664498673+7.550662800909967j),(53.862374937225574+62.3065529433571j),(9.91986816920504e-13-3.4714851127252227e-13j)
2024-11-14T07:05:00.000000,(41.17845540613877-68.45404583149111j),(-93.57107895083259+6.045046809004434j),(52.39262354469383+62.40899902248667j),(7.854676563137794e-13-5.4319125675010614e-14j)
