t,a,b,c,n
2024-11-14T07:00:00.000000,(9692.56523887482+12.22832778024209j),(-4859.380229870204-8444.706853009568j),(-4908.239129520569+8451.278855576647j),0j
2024-11-14T07:00:20.000000,(9701.063772950234+2.7288023347923684j),(-4877.918718420111-8450.581623691201j),(-4883.524997659462+8454.688498208965j),0j
2024-11-14T07:00:50.000000,(9683.90199250921-2.9888325262990483j),(-4864.156274168113-8436.618215250064j),(-4893.752386523959+8437.686382806965j),0j
2024-11-14T07:01:10.000000,(9720.639274251547-1.9620726754047917j),(-4860.019867547568-8433.279369143662j),(-4873.719736657448+8411.81448978321j),0j
2024-11-14T07:01:20.000000,(9745.468365773213+4.400352593835629j),(-4859.300835558123-8413.309248281317j),(-4861.95123741125+8405.549196500982j),0j
2024-11-14T07:01:40.000000,(9713.532262045777-60.08498497303856j),(-4918.96779231029-8391.067838351648j),(-4814.50372880875+8450.934424173358j),0j
2024-11-14T07:01:50.000000,(9729.30901104323-19.434518177230753j),(-4870.958271332668-8415.447335228682j),(-4839.027171229872+8417.811565216396j),0j
2024-11-14T07:02:10.000000,(9722.559018398451-15.177335229154036j),(-4869.943098890311-8422.994543203617j),(-4857.640094429535+8442.454128950108j),0j
2024-11-14T07:02:20.000000,(9710.218018360902+20.710655086747753j),(-4841.221355917486-8447.909565631562j),(-4889.472452006355+8411.86223792546j),0j
2024-11-14T07:02:30.000000,(9726.478078930108+11.093036881198278j),(-4865.905640251703-8457.68429578641j),(-4884.763762054904+8426.799647735515j),0j
2024-11-14T07:02:50.000000,(9693.182347710552-12.511153159539035j),(-4886.420899745673-8469.462462037372j),(-4879.56238173009+8441.38786573018j),0j
2024-11-14T07:03:00.000000,(9722.590213036392-8.71934085269828j),(-4871.965239456182-8447.58136036001j),(-4872.479357977934+8425.682465822683j),0j
2024-11-14T07:03:20.000000,(9691.446785480379-35.271626667804604j),(-4900.766366008076-8431.35251105337j),(-4866.00436923096+8463.186380190753j),0j
2024-11-14T07:03:30.000000,(9754.272520452114-23.40638242795098j),(-4866.231587319002-8405.675953848186j),(-4834.709295902659+8411.50971832124j),0j
2024-11-14T07:03:40.000000,(9738.730423463396-18.662873828168774j),(-4862.3067921505835-8416.394214393196j),(-4850.514070316951+8412.135376303984j),0j
2024-11-14T07:04:00.000000,(9730.964834419774-29.30074553911437j),(-4883.399058887889-8427.516112845067j),(-4848.619294638936+8440.980427489305j),0j
2024-11-14T07:04:10.000000,(9708.56655482555-32.076933943393506j),(-4902.858248797743-8425.09534809676j),(-4849.954776469992+8467.046075909266j),0j
2024-11-14T07:04:20.000000,(9743.095447130985-46.334714559595305j),(-4906.410832552332-8392.792181164035j),(-4830.981754817446+8456.875623408685j),0j
2024-11-14T07:04:30.000000,(9723.430893219018-15.477669631359174j),(-4885.236066948427-8442.27845943667j),(-4870.996994789563+8441.899528468939j),0j
2024-11-14T07:04:50.000000,(9654.725392551785-38.43136114462387j),(-4934.123179257204-8491.894222898885j),(-4885.832673928775+8498.282369217133j),0j
2024-11-14T07:05:00.000000,(9671.890069767502+18.809859181956917j),(-4863.222351811971-8471.275078618866j),(-4929.419834693575+8460.582388884708j),0j
