t,a,b,c,n
2024-11-14T07:00:00.000000,(-101.12571890030755+1230.171081932494j),(1123.0785609944794-543.4238873097681j),(-1021.7527726151984-686.9869916055435j),(-5.503929350173869e-13+7.941189749268409e-13j)
2024-11-14T07:00:20.000000,(-95.82405723273594+1231.1859233833634j),(1120.6629621602513-549.6690389457967j),(-1024.2706261089377-684.1692617345705j),(-1.2142577642701627e-12+1.1133781846414783e-12j)
2024-11-14T07:00:50.000000,(-90.37193356130426+1231.6675381520959j),(1118.7042909483025-553.1008402736361j),(-1027.446420445123-679.3064935909114j),(-3.1801713866214166e-16+7.067881640868087e-13j)
2024-11-14T07:01:10.000000,(-96.34699866297139+1230.7236791818307j),(1120.8938602454457-548.1029230440331j),(-1023.5146789768128-684.6815461591589j),(2.5385003621136692e-14+1.2724807111981052e-12j)
2024-11-14T07:01:20.000000,(-96.06772262702688+1230.511952556983j),(1120.9101805591529-547.6743466695676j),(-1023.9660938116821-683.6338718670288j),(3.2634815873035626e-13+1.2790182979377591e-12j)
2024-11-14T07:01:40.000000,(-89.1924934826189+1231.4218942735j),(1117.7361612339519-555.1140094903222j),(-1029.0820949654774-676.456204578561j),(5.2984465248772615e-14-9.075944309119101e-13j)
2024-11-14T07:01:50.000000,(-91.29825746020124+1231.2867482640634j),(1119.2407793180573-552.7568765748902j),(-1027.8061876121635-678.7757876593203j),(-1.779215294415236e-12-2.528815008403129e-13j)
2024-11-14T07:02:10.000000,(-97.88864706397104+1229.755922249186j),(1119.9575042404765-548.0204505003511j),(-1023.4815748130615-683.1123848665351j),(7.537368641898266e-13-1.3191605907946528e-12j)
2024-11-14T07:02:20.000000,(-101.82018104278308+1229.5784246333665j),(1122.951903968109-542.6988497088299j),(-1021.2071905865727-687.0779465489342j),(1.4497877289079558e-12-2.1776609911145915e-12j)
2024-11-14T07:02:30.000000,(-99.1295257132786+1229.0924759389147j),(1120.209243397373-546.7667255040329j),(-1022.2305900493529-684.0284736952935j),(-1.5553183499395531e-12+9.745237656280902e-13j)
2024-11-14T07:02:50.000000,(-98.62567709424044+1229.7640693183862j),(1120.9796080900173-546.381278664205j),(-1022.9491487509451-684.0006998464349j),(5.717111696826257e-14+2.935849563081926e-13j)
2024-11-14T07:03:00.000000,(-97.4409778685098+1229.749410044692j),(1120.607887155317-546.5340979303612j),(-1023.0174745072093-683.5451951978799j),(2.9969815051798063e-13+4.1296286265256845e-13j)
2024-11-14T07:03:20.000000,(-96.7559921448514+1230.3252388487028j),(1120.2920511892414-548.9806007301192j),(-1023.7229397162932-683.8301019447669j),(-5.775450191344989e-13-5.508984621964243e-13j)
2024-11-14T07:03:30.000000,(-96.74479617612806+1230.4255143152318j),(1120.6041223037153-548.9692493389036j),(-1024.8758956918632-682.3276675063863j),(-1.5019999499154323e-12+5.320826846119298e-14j)
2024-11-14T07:03:40.000000,(-99.78767299153819+1230.1939019669835j),(1122.5424147223666-544.8112872542807j),(-1021.7834510782768-687.0441051862499j),(-7.21327126084832e-13-4.108585849925098e-13j)
2024-11-14T07:04:00.000000,(-95.34428490592637+1230.1877861950763j),(1119.9082484502223-549.021786326888j),(-1023.8351503380214-683.1748911064124j),(-5.092888280520855e-13-6.351792846447595e-13j)
2024-11-14T07:04:10.000000,(-94.72368066827941+1229.947718476543j),(1118.8534718784329-550.7900560222832j),(-1024.67163588997-681.7244544023122j),(-2.4952106353565904e-13+2.8338638001244965e-13j)
2024-11-14T07:04:20.000000,(-94.07470210051902+1229.9276215188088j),(1118.54586281055-552.0563016347303j),(-1025.8690905509686-680.113108403534j),(1.5112525326132669e-12-7.176504234737908e-13j)
2024-11-14T07:04:30.000000,(-92.90000237238534+1229.999357299913j),(1118.7890461494098-551.1581686104524j),(-1025.0472123282036-680.8195197356205j),(1.2220292334213606e-12+3.717258808615826e-13j)
2024-11-14T07:04:50.000000,(-96.05699307659675+1230.2583638810129j),(1119.8130628125177-549.9481701844994j),(-1024.4397841546927-682.5234768987183j),(7.944429794322885e-13+3.3016854957816047e-13j)
2024-11-14T07:05:00.000000,(-95.67430343500943+1229.9566598985919j),(1119.1765894103037-549.1959067898586j),(-1023.2628300676545-683.3550326584644j),(-5.113560553727866e-13-2.7156056842979177e-13j)
