t,a,b,c,n
2024-11-14T07:00:00.000000,(-75.7079204922197+392.6396797458668j),(365.1774374525944-106.11213912534706j),(-289.4695169603747-286.5275406205197j),(-1.3956553350734716e-12+2.2870040633684425e-12j)
2024-11-14T07:00:20.000000,(-73.37233143884802+387.98232994878555j),(363.20088992513615-104.56080596332457j),(-289.82855848628816-283.421523985461j),(-2.8506644307518356e-12-3.140676744981065e-13j)
2024-11-14T07:00:50.000000,(-74.26946235126249+392.4395703977587j),(366.64424108624866-104.27360050598024j),(-292.3747787349862-288.1659698917785j),(1.7351399650947422e-12-5.825948411218561e-13j)
2024-11-14T07:01:10.000000,(-74.36128971877979+386.0477474421697j),(366.2082732345245-102.17310901306045j),(-291.84698351574474-283.8746384291092j),(9.533079689428324e-13-1.7208812532011042e-13j)
2024-11-14T07:01:20.000000,(-74.37270972263042+387.6181549051847j),(364.9603835482925-102.26480384575636j),(-290.5876738256621-285.3533510594283j),(-9.350920755955129e-14-1.7853841227405056e-12j)
2024-11-14T07:01:40.000000,(-71.22400597169012+384.6197395208008j),(365.11963663865566-105.67341007014485j),(-293.8956306669656-278.9463294506559j),(5.8827454972277225e-16+7.510990621373093e-13j)
2024-11-14T07:01:50.000000,(-74.9667941705749+386.69330265702604j),(366.7273195150415-106.81933878805557j),(-291.76052534446654-279.8739638689704j),(5.091974391234892e-13+1.2759315707077254e-12j)
2024-11-14T07:02:10.000000,(-73.6238488400384+385.31684178011227j),(366.56630278407573-104.171143787216j),(-292.9424539440373-281.14569799289626j),(1.0246939206992594e-12-2.528140265573786e-12j)
2024-11-14T07:02:20.000000,(-78.8358085175125+386.5590384306344j),(370.2495150761889-104.0459282115193j),(-291.4137065586763-282.51311021911516j),(-1.320257553716526e-12-5.345468205350923e-13j)
2024-11-14T07:02:30.000000,(-74.66493743364603+386.7055624555608j),(365.1476282358481-106.48973910004572j),(-290.48269080220206-280.2158233555151j),(8.11658672873863e-13-2.995832974004274e-12j)
2024-11-14T07:02:50.000000,(-73.32542673295846+393.10367882102764j),(371.5393018589285-112.26799868848904j),(-298.2138751259701-280.8356801325386j),(2.131969858083485e-12-2.3463346396265348e-12j)
2024-11-14T07:03:00.000000,(-76.0976960238527+383.4358209495768j),(369.50229306249787-102.39156262639j),(-293.40459703864514-281.0442583231868j),(-1.0376322847805157e-12-2.1770073160855205e-12j)
2024-11-14T07:03:20.000000,(-72.33405743683132+379.05838568439054j),(364.130228435991-101.68115179172122j),(-291.7961709991597-277.3772338926693j),(5.162524846771592e-13+4.167066549369282e-12j)
2024-11-14T07:03:30.000000,(-73.29543860193039+381.63303186771867j),(363.51150096776354-102.50612838363622j),(-290.2160623658332-279.12690348408245j),(-2.33412250925811e-13+1.2637049791088947e-12j)
2024-11-14T07:03:40.000000,(-72.37915187982543+384.059657335236j),(363.6869847639482-101.19022693160262j),(-291.3078328841227-282.8694304036334j),(9.69289252184187e-13-2.850792781457677e-12j)
2024-11-14T07:04:00.000000,(-73.30020034642595+386.48387181273824j),(365.5448194608207-101.267596066801j),(-292.24461911439477-285.2162757459373j),(-2.0612497942635302e-13-3.793549225859997e-12j)
2024-11-14T07:04:10.000000,(-72.40320244904632+383.79837842697896j),(363.0886579139078-102.38758921284618j),(-290.68545546486155-281.41078921413276j),(-1.750731435980149e-12-1.6733713641350375e-12j)
2024-11-14T07:04:20.000000,(-71.14054589164465+385.09564330371165j),(360.59073657803697-104.80192903299091j),(-289.45019068639226-280.2937142707208j),(-1.029604957222517e-12+1.6320449518594584e-12j)
2024-11-14T07:04:30.000000,(-71.98878971064221+382.4413945225013j),(361.1096132340004-101.25145755166184j),(-289.12082352335824-281.1899369708395j),(-3.4849665604290396e-13+4.244246808982124e-12j)
2024-11-14T07:04:50.000000,(-73.78078013874703+380.7201064398501j),(363.0226532483854-105.15794509120148j),(-289.2418731096384-275.5621613486486j),(-8.987006741022186e-13+5.852072193320205e-13j)
2024-11-14T07:05:00.000000,(-74.41749951677382+381.84838545728536j),(365.57047181283724-105.18222639834072j),(-291.15297229606347-276.66615905894463j),(2.43315419221537e-14-1.6270001724354933e-12j)
