t,a,b,c,n
2024-11-14T07:00:00.000000,(-209.09711199174075-716.663400456298j),(-2653.1395638531885-717.1084537995832j),(-1435.7322239456912+1407.8223365583278j),(-1432.6562999302068-8.649839232517884j)
2024-11-14T07:00:20.000000,(-314.4513782611447-870.9292329017467j),(-2759.4440089689-870.1034768273454j),(-1535.9795033462235+1255.0101659705385j),(-1536.6249635254223-162.0075145861846j)
2024-11-14T07:00:30.000000,(-239.72314921683176-594.5569731529663j),(-2686.7085232388736-590.4206901772181j),(-1460.9739366138776+1532.04825518186j),(-1462.4685363565275+115.69019728389172j)
2024-11-14T07:00:50.000000,(-257.8947954965028-860.3006895410437j),(-2701.2927566548956-859.5745527594056j),(-1482.0141242463012+1263.6524273946839j),(-1480.400558799233-152.07427163525526j)
2024-11-14T07:01:00.000000,(-1134.5164444869995-791.5192033102251j),(-3581.184623422506-791.6339638525574j),(-2361.221980146309+1333.4374930022148j),(-2358.9743493519377-83.23855805352284j)
2024-11-14T07:01:10.000000,(-592.9420712348808-1021.8543675418305j),(-3040.290137466826-1022.0591350566727j),(-1816.526861326525+1097.7613669570208j),(-1816.586356676077-315.3840452138275j)
2024-11-14T07:01:20.000000,(-670.699783784848-613.4725520396821j),(-3121.426536823766-613.4202429350506j),(-1894.462577766565+1503.1616081060406j),(-1895.5296327917263+92.08960437710242j)
2024-11-14T07:01:40.000000,(-463.56331044835474-823.5814161227033j),(-2908.3871318136235-808.1444895594908j),(-1671.9971297230084+1302.3799712438256j),(-1681.3158573283285-109.78197814612294j)
2024-11-14T07:01:50.000000,(-168.74948702747966-931.5486881801247j),(-2615.645465894447-927.0849981470283j),(-1386.9321815786836+1188.989369025928j),(-1390.44237816687-223.21477243374167j)
2024-11-14T07:02:20.000000,(87.32896302603811-876.9913898254057j),(-2358.639137030989-881.6836983481809j),(-1140.0610212409838+1242.0274599935797j),(-1137.1237317486448-172.21587606000253j)
2024-11-14T07:02:30.000000,(8.888638111040876-824.2721669834069j),(-2441.306858089979-826.8222664442902j),(-1216.9696726091254+1299.4832414956973j),(-1216.4626308626875-117.20373064399998j)
2024-11-14T07:02:50.000000,(-664.6045458007474-1028.8883394735574j),(-3110.3264453410893-1027.4362756404444j),(-1885.051693507982+1099.737255569207j),(-1886.6608948832725-318.8624531815983j)
2024-11-14T07:03:00.000000,(-616.7826928216944-1015.759127659063j),(-3065.963068690287-1014.3594700790153j),(-1839.4979499877015+1108.6653966615984j),(-1840.7479038332274-307.1510670254935j)
2024-11-14T07:03:10.000000,(-553.8266040049772-861.5777923453161j),(-3000.997266043827-860.0921729384793j),(-1774.359377845898+1267.8474151590806j),(-1776.3944159649004-151.27418337490505j)
2024-11-14T07:03:20.000000,(-169.83692573162554-598.0015750607619j),(-2613.9329253370734-588.2922850485735j),(-1386.3349609707857+1531.5879298465452j),(-1390.0349373464949+115.09802324573637j)
2024-11-14T07:03:30.000000,(-1067.1065541326227-674.8087589139294j),(-3517.6203940285145-668.7530280559299j),(-2286.9030295859898+1444.4239617726703j),(-2290.5433259157085+33.62072493427017j)
2024-11-14T07:03:40.000000,(45.534330891517534-798.795824392026j),(-2403.737349952766-794.7289560507079j),(-1176.3845899904334+1321.0536252726151j),(-1178.1958696838938-90.8237183900397j)
2024-11-14T07:03:50.000000,(-53.36501221252614-803.8137033496639j),(-2505.647960185525-798.8030088320646j),(-1275.8119957099216+1317.3790032306833j),(-1278.2749893693237-95.0792363170151j)
2024-11-14T07:04:00.000000,(-871.6657074209462-778.5478667269327j),(-3319.175513649234-771.4194836858369j),(-2090.1606887341495+1346.3269582515456j),(-2093.667303268109-67.88013072040808j)
2024-11-14T07:04:10.000000,(-254.35774350959397-690.5566719962573j),(-2699.911000364328-681.3353726347187j),(-1470.2852753187879+1438.0919500639186j),(-1474.851339730903+22.066635144314183j)
2024-11-14T07:04:20.000000,(-121.24967526450699-615.3386826561128j),(-2571.4818704628206-602.3354092189488j),(-1337.0645087970881+1510.1019896334958j),(-1343.265351508138+97.47596591947786j)
2024-11-14T07:04:30.000000,(-950.4173757805132-677.6320274513374j),(-3400.82032869856-673.0573829864012j),(-2172.262596846556+1449.6098861826324j),(-2174.5001004418764+32.97349191496452j)
2024-11-14T07:05:00.000000,(-353.8825350531873-526.5925273566403j),(-2798.968813046996-528.2121354282397j),(-1582.6046423644698+1603.951097185938j),(-1578.4853301548842+183.04881146701925j)
