t,a,b,c,n
2024-11-14T07:00:00.000000,(12.117166479762213+143.83256002869538j),(107.20380113607702-74.55526313034447j),(-119.32096761583924-69.27729689835091j),(-1.1401562120030827e-12-1.0446456413098674e-12j)
2024-11-14T07:00:20.000000,(10.751662175781927+147.44374503811494j),(110.76286740614748-76.81132552807347j),(-121.5145295819294-70.63241951004147j),(-1.6351476281444263e-13-1.5967190479524945e-12j)
2024-11-14T07:00:30.000000,(10.606201043198588+147.552002210297j),(110.45085640032013-76.9580766850168j),(-121.05705744351873-70.59392552528017j),(-4.572844535336958e-13-1.5413173458800783e-13j)
2024-11-14T07:00:50.000000,(10.066282852945895+148.59654579016575j),(109.56622009073442-77.52127417953518j),(-119.63250294368031-71.07527161063055j),(-8.2432125659113e-13-3.7913422843793896e-13j)
2024-11-14T07:01:00.000000,(10.91416008216946+149.53809233027854j),(110.86850327237711-78.1116138891345j),(-121.78266335454656-71.42647844114406j),(-3.2659890370118646e-12-2.4029188700918287e-12j)
2024-11-14T07:01:10.000000,(9.74397790257793+149.2682671357207j),(112.30978309391354-78.02343851172382j),(-122.05376099649146-71.24482862399687j),(-3.223582305418895e-13+5.456105617023211e-13j)
2024-11-14T07:01:20.000000,(11.033663428846946+147.51555582057273j),(109.033112767357-77.01022797666776j),(-120.06677619620395-70.50532784390496j),(-5.636992490070514e-13+6.790230870073624e-13j)
2024-11-14T07:01:40.000000,(12.82087790250216+147.10315624721804j),(106.9341981159987-76.04367316970335j),(-119.75507601850086-71.05948307751467j),(6.565854389168738e-13-1.371548571331403e-12j)
2024-11-14T07:01:50.000000,(10.749801360542579+148.1492798999167j),(111.08354637011041-76.66083358082788j),(-121.833347730653-71.48844631908884j),(1.7586959242894695e-12+8.170487228702745e-13j)
2024-11-14T07:02:20.000000,(11.20819102601608+146.60611683587294j),(109.34459734026933-74.81846143833246j),(-120.55278836628541-71.7876553975405j),(5.465943357800196e-14+1.5792449160075294e-12j)
2024-11-14T07:02:30.000000,(12.226287941902383+147.09515029309853j),(108.37242669455762-76.44752758391493j),(-120.59871463646-70.6476227091836j),(3.951952564708442e-12+9.024659191834752e-13j)
2024-11-14T07:02:50.000000,(11.119405489762649+148.8160604560149j),(112.12658002203847-77.5977475741248j),(-123.24598551180111-71.2183128818901j),(-1.1684441265515125e-12+9.571356468285138e-13j)
2024-11-14T07:03:00.000000,(11.610827643842878+147.76098931354434j),(109.69252246131393-76.61642352257648j),(-121.3033501051568-71.14456579096785j),(3.271494009550934e-12-1.225787067905365e-12j)
2024-11-14T07:03:10.000000,(12.214109273761585+146.75961283349073j),(108.67574456159429-76.15419024496403j),(-120.88985383535588-70.60542258852668j),(9.363549643312021e-14+7.337699450615871e-13j)
2024-11-14T07:03:20.000000,(11.537225719926418+147.88222310238365j),(110.10281477053486-77.5388036367497j),(-121.64004049046127-70.34341946563394j),(-6.464521017859579e-13-1.708596976741224e-12j)
2024-11-14T07:03:30.000000,(10.692701493804803+148.48713491433423j),(112.2644898466466-76.85497836421092j),(-122.95719134045139-71.6321565501233j),(-1.1215417676916308e-12-1.1391848212682586e-12j)
2024-11-14T07:03:40.000000,(11.179266952589751+149.51460819510606j),(113.1107613498516-76.94856332988839j),(-124.29002830244136-72.56604486521766j),(-2.0192928023683667e-12-1.893017494371941e-12j)
2024-11-14T07:03:50.000000,(12.839294296439416+149.26859648313916j),(110.22717465358356-76.87882067793853j),(-123.06646895002297-72.38977580520063j),(-1.5549058775767467e-12+1.6663511261146601e-12j)
2024-11-14T07:04:00.000000,(12.300652445522747+148.7860017111141j),(110.28485494525108-76.66422403883391j),(-122.58550739077383-72.12177767228019j),(-1.2177473358653447e-12-1.5252378058717939e-12j)
2024-11-14T07:04:10.000000,(12.253550468754552+147.95020048824765j),(110.2997003626795-76.16040887811141j),(-122.55325083143407-71.78979161013622j),(1.2376602403234967e-12-4.310464220084901e-13j)
2024-11-14T07:04:20.000000,(11.622648019742359+147.99762829136614j),(111.89119374673058-76.92732797664391j),(-123.51384176647294-71.07030031472223j),(2.3054918822386477e-13-2.1316496632009406e-12j)
2024-11-14T07:04:30.000000,(11.658609228206181+149.5272670137456j),(112.21971067614376-77.76559680050103j),(-123.87831990434995-71.76167021324456j),(-8.289867921419291e-13+2.000854117653774e-12j)
2024-11-14T07:05:00.000000,(10.89937410376902+152.1470069377529j),(113.89863438898708-79.26671214815993j),(-124.7980084927561-72.88029478959295j),(-2.2388902031849984e-12+8.610214297956174e-13j)
