t,a,b,c,n
2024-11-14T07:00:00.000000,(1099.417267761477-642.9660450734774j),(-1274.4760920255424-605.3294460010096j),(-66.11729501484878+1478.9323653681909j),(-80.39203975963788+76.87895809790103j)
2024-11-14T07:00:20.000000,(497.5337371649809-1219.3182502151556j),(-1874.600512674642-1172.8964258943126j),(-662.33249827073+907.4240779422506j),(-679.7997579267965-494.9301993890726j)
2024-11-14T07:00:30.000000,(3.1652246527714496-1718.0393703616344j),(-2366.7675414690334-1671.7142636282194j),(-1153.5620232735914+410.23060137274257j),(-1172.3881133632838-993.1743442057036j)
2024-11-14T07:00:50.000000,(620.2086828173844-1297.4304904996668j),(-1750.1315698147946-1255.1184654730573j),(-541.069367825769+828.7128131484735j),(-556.9974182743927-574.6120476080833j)
2024-11-14T07:01:00.000000,(796.7432222700731+1439.1657916747317j),(-1574.8161791092643+1489.5703826441138j),(-357.26553216864073+3569.033670768609j),(-378.44616300261026+2165.9232816958174j)
2024-11-14T07:01:10.000000,(571.1158998836498-858.1255382467066j),(-1800.6769425862954-811.7582532186087j),(-586.8039214725974+1270.2545564439977j),(-605.4549880584138-133.20974500710608j)
2024-11-14T07:01:20.000000,(786.619297639686-1151.7901266588344j),(-1586.375133797102-1105.3295900565984j),(-372.86546583985336+976.3953141559982j),(-390.87376733242274-426.90813418647804j)
2024-11-14T07:01:40.000000,(469.5659520724007-801.8534266342461j),(-1902.3071687290321-744.8775293902501j),(-685.108594882079+1331.353009103359j),(-705.9499371795697-71.79264897371257j)
2024-11-14T07:01:50.000000,(-146.029695646964-1492.0582494888995j),(-2517.054748799508-1453.9162322259149j),(-1304.7926376939854+631.7752135153992j),(-1322.6256940468186-771.3997560664716j)
2024-11-14T07:02:20.000000,(609.3699902089065-946.1444502009277j),(-1765.8218670475324-902.0615471434847j),(-564.5294221332741+1178.6035750396297j),(-573.6604329906329-223.20080743492755j)
2024-11-14T07:02:30.000000,(653.3278425205824-661.1431608350131j),(-1722.625604622154-614.5319842704318j),(-509.4639276484067+1468.102993607401j),(-526.2538965833259+64.14261616731856j)
2024-11-14T07:02:50.000000,(-11572.979333104247-1036.8949912417784j),(-13946.420269868055-992.8660837897635j),(-12728.312320349749+1090.3839011197979j),(-12749.237307774007-313.12572463724774j)
2024-11-14T07:03:00.000000,(943.7543292786711-1116.7696180670082j),(-1429.813918426504-1069.9434000151498j),(-215.306397349944+1012.7288467265025j),(-233.78866216592553-391.3280571185519j)
2024-11-14T07:03:10.000000,(943.4781771204835-1304.1454490573788j),(-1430.3714192625478-1254.385714130547j),(-212.99527502855474+826.3815666661659j),(-233.29617239020612-577.3831988405866j)
2024-11-14T07:03:20.000000,(782.7479477722519-679.7572097183785j),(-1589.2412588814873-631.2841033422295j),(-368.36438793339084+1449.121629633j),(-391.61923301420836+46.026772190797196j)
2024-11-14T07:03:30.000000,(791.9823577056225-801.0195021109504j),(-1579.8041993939426-749.9419482309096j),(-369.5239327174669+1328.2578600567417j),(-385.7819248019284-74.23453009503956j)
2024-11-14T07:03:40.000000,(915.1961669537765-1359.7492374204833j),(-1457.4898402397353-1312.2434020271187j),(-247.1818139317266+769.0609736307365j),(-263.15849573922804-634.3105552722883j)
2024-11-14T07:03:50.000000,(336.3668373849553-569.372329777735j),(-2036.3082629447083-522.8229771567924j),(-822.9084179851066+1558.928767316777j),(-840.9499478482859+155.57782012741643j)
2024-11-14T07:04:00.000000,(-542.2545219696552-794.832395873505j),(-2916.952673459655-745.518552253728j),(-1700.788154885363+1335.136572790093j),(-1719.99845010489-68.40479177904689j)
2024-11-14T07:04:10.000000,(399.570223261068-941.2957999428669j),(-1973.8796116048625-895.328786570923j),(-757.6588501608486+1187.7026320486693j),(-777.3227461682139-216.30731815504026j)
2024-11-14T07:04:20.000000,(797.4377354765911-341.12242611418884j),(-1576.450100810779-292.01495067707543j),(-354.22780801634104+1789.2419147252622j),(-377.7467244501758+385.36817931133237j)
2024-11-14T07:04:30.000000,(790.2096662505056-1195.2518553354075j),(-1583.5686775523247-1147.0825526216443j),(-367.347210428155+934.746683835081j),(-386.90207390999103-469.19590804065666j)
2024-11-14T07:05:00.000000,(970.1769627216441-1851.1812133178848j),(-1403.3670595783683-1805.5795684787993j),(-198.9652169869475+278.3444467844518j),(-210.71843794789035-1126.1387783374105j)
