t,a,b,c,n
2024-11-14T07:00:00.000000,(130.2967413487698-238.17939144145285j),(-266.5693137258981-0.5468486933932356j),(131.06806824150635+231.20090669830043j),(-1.7348347118739809-2.508444478848548j)
2024-11-14T07:00:20.000000,(129.31348626851198-238.7695049510671j),(-266.672628967195+0.35113672805466384j),(131.1538166460669+230.71640071152888j),(-2.068442017538712-2.567322503827833j)
2024-11-14T07:00:50.000000,(129.1464590918904-238.91518179297884j),(-266.85848912340805-0.2936467935298288j),(130.44907304723006+230.9330417135315j),(-2.4209856614291954-2.75859562432572j)
2024-11-14T07:01:10.000000,(128.9867983189828-239.00590781950024j),(-266.81751379935747+0.34284577688851464j),(131.26343602500685+230.8879604619227j),(-2.18909315178927-2.591700526896357j)
2024-11-14T07:01:20.000000,(129.47761742917655-238.73956753757398j),(-266.6096838882637+0.5805806749126318j),(131.49155736399712+231.09199762153048j),(-1.8801696983633518-2.355663080376961j)
2024-11-14T07:01:40.000000,(128.1583704000362-239.41427020981075j),(-267.28665102741184+1.651603414262329j),(131.13967067092912+230.38777515860505j),(-2.662869985482177-2.4582972123144513j)
2024-11-14T07:01:50.000000,(129.28235318675678-238.8432137205044j),(-266.5186130896768-0.9690456409287328j),(131.2585900311854+230.9231820413822j),(-1.9925566239115413-2.9630257733503136j)
2024-11-14T07:02:10.000000,(129.2838415079473-239.02401975376708j),(-267.01097445171655+0.038981702644275563j),(130.81142656659762+231.04341010494122j),(-2.305235459057202-2.6472093153938587j)
2024-11-14T07:02:20.000000,(129.91083954278704-238.31609946557694j),(-267.83501872668904+0.4962609572845848j),(128.8400867314662+230.96629160644744j),(-3.0280308174786184-2.2845156339483035j)
2024-11-14T07:02:30.000000,(130.0735502649799-238.51357420556857j),(-266.70454313796125+0.9277789490983734j),(131.66423510759574+231.49975504828197j),(-1.65558592179519-2.0286800693960725j)
2024-11-14T07:02:50.000000,(129.25450261843886-238.9075104390959j),(-266.4488073961734+0.0033512077867054266j),(132.24400860942407+231.0020241130497j),(-1.650098722770155-2.6340450394198203j)
2024-11-14T07:03:00.000000,(128.9552487551686-239.20392983635966j),(-267.1243854807148+0.21212176036704988j),(131.10734839386618+230.81649982684365j),(-2.353929443893354-2.725102749716332j)
2024-11-14T07:03:20.000000,(128.61782780180542-239.2653754069194j),(-266.41724180151573+0.29889893769972004j),(132.40126036109626+230.47550186437473j),(-1.7993845462047071-2.8303248682816475j)
2024-11-14T07:03:30.000000,(128.71487632286167-239.13702896759378j),(-267.471202094485+0.7469518310699071j),(130.1250592289358+230.38410871253623j),(-2.8770888475625065-2.668656141329207j)
2024-11-14T07:03:40.000000,(129.01732641697583-239.08803463410712j),(-267.3729977953688+0.37161609565188464j),(130.33118190005092+230.77643584885732j),(-2.6748298261140238-2.646660896532649j)
2024-11-14T07:04:00.000000,(129.31101393500475-239.01215586675144j),(-266.8647718982069+0.8061480943971622j),(131.7158470255024+230.92797086668435j),(-1.9459703125665855-2.426012301889975j)
2024-11-14T07:04:10.000000,(129.0094594225157-239.2165217071736j),(-266.85939014870763+0.1210168600350499j),(131.5955807981959+230.87191417066515j),(-2.0847833093320243-2.7411968921578045j)
2024-11-14T07:04:20.000000,(128.98890715492365-239.1715022039744j),(-266.3288656950533+0.6991871000036635j),(132.87730395882255+230.8857913856078j),(-1.4875515271023942-2.528841239454301j)
2024-11-14T07:04:30.000000,(128.9186252368321-239.39342489244623j),(-267.03729442693066+0.2968085379051837j),(131.44476696806794+230.6775152637038j),(-2.224634074010213-2.806367030279075j)
2024-11-14T07:04:50.000000,(128.2241125622056-239.58236873162235j),(-266.2978673923527+0.09367699098974046j),(134.04712673991853+230.4315443948578j),(-1.3422093634095378-3.0190491152582632j)
2024-11-14T07:05:00.000000,(129.58357944251276-238.9880216313924j),(-267.6781655330047+0.3978322778047478j),(129.50120179215955+231.28326908519784j),(-2.8644614327774547-2.4356400894632753j)
