t,a,b,c,n
2024-11-14T07:00:00.000000,(-23.47852312530025+462.5662338444882j),(406.1676078217284-210.1912976860374j),(-382.6890846964281-252.3749361584508j),(-1.940453223513354e-12-1.185601132674839e-12j)
2024-11-14T07:00:20.000000,(-25.106964079778535+464.3227457388869j),(410.5945083414668-213.72495334158742j),(-385.48754426168824-250.59779239729951j),(-7.62093453752089e-13-9.239237337971437e-13j)
2024-11-14T07:00:30.000000,(-21.974824409947566+464.842563016704j),(407.5431700189333-214.04974965778297j),(-385.56834560898574-250.79281335892105j),(-5.532286846644648e-13+2.1505436506993617e-12j)
2024-11-14T07:00:50.000000,(-23.303186462546496+462.4273548101963j),(406.91220118107896-212.92539121016796j),(-383.6090147185324-249.50196360002835j),(3.9701698692044006e-13+5.515869808143881e-13j)
2024-11-14T07:01:00.000000,(-24.089521592635364+460.72155182130535j),(404.421606451268-211.33978036594897j),(-380.33208485863264-249.38177145535633j),(1.4288180986506766e-12+4.3523306927163196e-12j)
2024-11-14T07:01:10.000000,(-24.301415540996942+461.03633300625626j),(404.6653857284874-210.6846610417005j),(-380.3639701874905-250.35167196455575j),(-3.6837687078465034e-12+6.069496328125904e-14j)
2024-11-14T07:01:20.000000,(-22.865790543556415+461.93200054827025j),(407.1587641052094-212.53309637759696j),(-384.2929735616529-249.3989041706733j),(6.122100670763309e-13-1.0477435355080834e-12j)
2024-11-14T07:01:40.000000,(-20.89560367816986+461.7523978691793j),(404.3681145374621-214.50321457996802j),(-383.4725108592922-247.24918328921126j),(4.966921707986291e-12-4.063123941822259e-12j)
2024-11-14T07:01:50.000000,(-23.320473237259492+463.38634440462005j),(406.37979891014515-212.2924329488178j),(-383.0593256728857-251.09391145580224j),(-1.2344880563175233e-12-5.3526106836151605e-12j)
2024-11-14T07:02:20.000000,(-21.29590926185725+465.8271297868843j),(408.46838531934117-210.51517081657707j),(-387.1724760574839-255.31195897030727j),(-6.865543387815578e-13-6.004990813124215e-13j)
2024-11-14T07:02:30.000000,(-22.792071846542054+464.3856011880763j),(409.1742113348972-212.7406650555803j),(-386.3821394883551-251.64493613249596j),(-1.2686439188908816e-12+2.5178870784564455e-12j)
2024-11-14T07:02:50.000000,(-22.79115820497784+464.54192403915556j),(408.4270463850233-214.6522784667403j),(-385.6358881800454-249.88964557241528j),(-2.73074156188878e-13+5.4037796473161225e-12j)
2024-11-14T07:03:00.000000,(-23.120825795610518+468.13120512272553j),(410.84658835120797-216.1887643414086j),(-387.72576255559744-251.94244078131695j),(1.7981775054804877e-12+1.6356289980431443e-13j)
2024-11-14T07:03:10.000000,(-22.602070132262728+465.1454330939459j),(409.77947873305516-214.67299455213217j),(-387.17740860079243-250.47243854181372j),(-4.159856408044069e-12-4.165289531387138e-12j)
2024-11-14T07:03:20.000000,(-22.02133812068192+465.493682457468j),(408.2959299140015-216.09015650007848j),(-386.27459179331953-249.40352595738952j),(1.5070060462698779e-12-1.8212374379555532e-13j)
2024-11-14T07:03:30.000000,(-22.2776755945574+466.72480311361306j),(408.735039465674-216.0968660531902j),(-386.45736387111657-250.62793706042285j),(-4.622332249159768e-13+1.950547538850844e-12j)
2024-11-14T07:03:40.000000,(-22.492327951285848+464.6074526305565j),(408.7357911428027-215.06492072394195j),(-386.2434631915168-249.54253190661458j),(-3.426769170191798e-12+7.591351563276437e-12j)
2024-11-14T07:03:50.000000,(-23.51796028780961+466.0188957861092j),(410.2864061132541-215.2993787167608j),(-386.76844582544453-250.71951706934843j),(1.4525230253149257e-12+7.374545639540285e-12j)
2024-11-14T07:04:00.000000,(-22.485069624821534+462.82643623484273j),(408.2945203321714-214.53181400600548j),(-385.8094507073498-248.29462222883723j),(-3.556736419495461e-12+1.4864050580159418e-12j)
2024-11-14T07:04:10.000000,(-23.451705734316757+462.72182445818135j),(408.3066133660288-214.05021142325933j),(-384.8549076317121-248.67161303492202j),(2.2442856133673278e-12+1.4490391822665123e-13j)
2024-11-14T07:04:20.000000,(-22.74891971078683+461.3809323092738j),(407.1563324211544-212.93659786349107j),(-384.40741271036757-248.4443344457827j),(-1.3737199478965212e-12+1.9717514705949684e-12j)
2024-11-14T07:04:30.000000,(-22.71999582526383+463.2922867071279j),(408.84480481110666-214.7600518463005j),(-386.1248089858429-248.5322348608274j),(-6.280013359715068e-12-4.072744106184973e-12j)
2024-11-14T07:05:00.000000,(-24.131257946551646+461.1504870350837j),(408.12735972255723-211.62962631449773j),(-383.9961017760055-249.52086072058592j),(-1.5329757913418476e-12+2.3426218521713223e-12j)
