t,ab
2024-11-14T07:00:00.000000,(9661.578328376389+32.594067770033824j)
2024-11-14T07:00:20.000000,(9662.971839155047+11.28489861117716j)
2024-11-14T07:00:30.000000,(9661.80178081971-6.84687033462916j)
2024-11-14T07:00:50.000000,(9663.094311697065+28.66619073232839j)
2024-11-14T07:01:00.000000,(9656.525502842269-1.0911784786762275j)
2024-11-14T07:01:10.000000,(9659.73003589608-6.596360321251612j)
2024-11-14T07:01:20.000000,(9661.259255818059+21.606464354614275j)
2024-11-14T07:01:40.000000,(9660.095312835576-34.854165416624944j)
2024-11-14T07:01:50.000000,(9659.90178372292+0.7047876319354937j)
2024-11-14T07:02:10.000000,(9665.167134892818-4.9572838290038685j)
2024-11-14T07:02:20.000000,(9660.161198291098+71.77589982874443j)
2024-11-14T07:02:30.000000,(9667.186855102991+56.86231487200973j)
2024-11-14T07:02:50.000000,(9664.951658360651+0.33757724643747294j)
2024-11-14T07:03:00.000000,(9665.24135963773+23.022396019614913j)
2024-11-14T07:03:10.000000,(9664.912552297685+17.75975483655312j)
2024-11-14T07:03:20.000000,(9661.570038388394-18.33661143843648j)
2024-11-14T07:03:30.000000,(9661.927457051228+12.227662687641184j)
2024-11-14T07:03:40.000000,(9664.276830569994+32.487434233655j)
2024-11-14T07:03:50.000000,(9667.326525963541+4.042334341998449j)
2024-11-14T07:04:00.000000,(9664.957748978042+15.180199621039748j)
2024-11-14T07:04:10.000000,(9667.1567919993+3.851248222967592j)
2024-11-14T07:04:20.000000,(9667.95978051471-38.433110015177874j)
2024-11-14T07:04:30.000000,(9673.549894547352-39.08075065798287j)
2024-11-14T07:04:50.000000,(9671.15757591521+38.79907717773934j)
2024-11-14T07:05:00.000000,(9671.11168368716+28.964985222960774j)
